Дисциплина,Направление,Потоков,Групп,Лекции,Cеминары,ПК,КР,ТК
Теоретические основы финансовых технологий,ФИТиАБД_ПМиИ(б-3++)_очная_5,1,3,16,50,18,0,18
Теория вероятностей и математическая статистика,ИОО_ПИ(б-3++)_заочная_3,1,3,0,36,19,0,19
Теория вероятностей и математическая статистика,ИОО_ПИ(б-3++)_заочная_4,1,3,0,32,25,0,19
Теория вероятностей и математическая статистика,ФИТиАБД_БИ(б-3+)_очная_3,3,11,48,360,109,0,83
Теория вероятностей и математическая статистика,ФИТиАБД_ИБ(б-3++)_очная_3,2,7,32,273,52,0,52
Теория вероятностей и математическая статистика,ФИТиАБД_ИБ(б-3++)_очная_4,2,7,68,266,70,0,52
Теория вероятностей и математическая статистика,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,32,344,60,0,60
Теория вероятностей и математическая статистика,ФИТиАБД_ПИ(б-3++)_очная_3,2,8,32,301,76,0,58
Теория вероятностей и математическая статистика,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,16,92,30,0,30
Теория вероятностей и математическая статистика,ФИТиАБД_ПИ(б-3++)_очно-заочная_3,1,2,16,46,14,0,14
Теория вероятностей и математическая статистика,ФИТиАБД_ПИ(б-3++)_очно-заочная_4,1,2,16,42,20,0,14
